Name,IconSWF,IconExportName,LocalizedName,SortOrder,Enabled,EnabledCN,FileName,TestLanguage,UsedSystemFont,PreferedFallbackFont,ForcedFontFullName,HelpshiftSDKLanguage,HelpshiftSDKLanguageAndroid,TestExcludes,LoadAllLanguages,ChampionshipRegisterUrl,ChampionshipRegisterUrl_cn,TermsAndServiceUrl,ParentsGuideUrl,PrivacyPolicyUrl,LaserboxUrl,LaserboxUrlCN,LaserboxStagingUrl,LaserboxStagingUrlCN,LaserboxCommunityUrl,LaserboxCommunityUrlCN,LaserboxCommunityStagingUrl,LaserboxCommunityStagingUrlCN,LaserboxLangCode,FaqUrl_ios,FaqUrl_ios_cn,FaqUrl_android,FaqUrl_android_cn,ContactUsUrl_ios,ContactUsUrl_ios_cn,ContactUsUrl_android,ContactUsUrl_android_cn,LaserboxEnabled,IsRTL,isNounAdj,SeparateThousandsWithSpaces,SelfHelpUrl,SelfHelpUrlCN,FallbackToHelpshift,FallbackToHelpshiftCN,TermsAndServiceUrl_Tencent_android,ParentsGuideUrl_Tencent_android,PrivacyPolicyUrl_Tencent_android,TermsAndServiceUrl_Tencent_ios,ParentsGuideUrl_Tencent_ios,PrivacyPolicyUrl_Tencent_ios,TermsAndServiceUrl_Yoozoo,ParentsGuideUrl_Yoozoo,PrivacyPolicyUrl_Yoozoo,DeviceMigrationSelfHelpUrl
,,,,,,,,,,,,,,KR,,http://galebrawl.rf.gd,http://galebrawl.rf.gd,http://galebrawl.rf.gd,http://galebrawl.rf.gd,http://galebrawl.rf.gd,http://galebrawl.rf.gd,,,,https://web.telegram.org,,,,,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,,,,,https://t.me/shuvee_dev,,,,,,,,,,,,,
,,,,,,,,,,,,,,AR,,http://galebrawl.rf.gd,http://galebrawl.rf.gd,http://galebrawl.rf.gd,http://galebrawl.rf.gd,http://galebrawl.rf.gd,http://galebrawl.rf.gd,,,,https://web.telegram.org,,,,,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,,,,,https://t.me/shuvee_dev,,,,,,,,,,,,,
,,,,,,,,,,,,,,JP,,http://galebrawl.rf.gd,http://galebrawl.rf.gd,http://galebrawl.rf.gd,http://galebrawl.rf.gd,http://galebrawl.rf.gd,http://galebrawl.rf.gd,,,,https://web.telegram.org,,,,,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,,,,,https://t.me/shuvee_dev,,,,,,,,,,,,,
,,,,,,,,,,,,,,TH,,http://galebrawl.rf.gd,http://galebrawl.rf.gd,http://galebrawl.rf.gd,http://galebrawl.rf.gd,http://galebrawl.rf.gd,http://galebrawl.rf.gd,,,,https://web.telegram.org,,,,,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,,,,,https://t.me/shuvee_dev,,,,,,,,,,,,,
WORD,sc/ui.sc,flag_gb,Longest Word,105,false,false,localization/texts.csv,TRUE,,,,en,,CN,TRUE,http://galebrawl.rf.gd,http://galebrawl.rf.gd,http://galebrawl.rf.gd,http://galebrawl.rf.gd,http://galebrawl.rf.gd,http://galebrawl.rf.gd,,https://staging.inbox.brawlstars.com/,,https://web.telegram.org,,https://staging.inbox.brawlstars.com/community/,,,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,,,,,https://t.me/shuvee_dev,,,TRUE,,,,,,,,,,
,,,,,,,,,,,,,,CNT,,http://galebrawl.rf.gd,http://galebrawl.rf.gd,http://galebrawl.rf.gd,http://galebrawl.rf.gd,http://galebrawl.rf.gd,http://galebrawl.rf.gd,,,,https://web.telegram.org,,,,,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,,,,,https://t.me/shuvee_dev,,,,,,,,,,,,,
,,,,,,,,,,,,,,KR,,http://galebrawl.rf.gd,http://galebrawl.rf.gd,http://galebrawl.rf.gd,http://galebrawl.rf.gd,http://galebrawl.rf.gd,http://galebrawl.rf.gd,,,,https://web.telegram.org,,,,,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,,,,,https://t.me/shuvee_dev,,,,,,,,,,,,,
,,,,,,,,,,,,,,AR,,http://galebrawl.rf.gd,http://galebrawl.rf.gd,http://galebrawl.rf.gd,http://galebrawl.rf.gd,http://galebrawl.rf.gd,http://galebrawl.rf.gd,,,,https://web.telegram.org,,,,,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,,,,,https://t.me/shuvee_dev,,,,,,,,,,,,,
,,,,,,,,,,,,,,JP,,http://galebrawl.rf.gd,http://galebrawl.rf.gd,http://galebrawl.rf.gd,http://galebrawl.rf.gd,http://galebrawl.rf.gd,http://galebrawl.rf.gd,,,,https://web.telegram.org,,,,,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,,,,,https://t.me/shuvee_dev,,,,,,,,,,,,,
,,,,,,,,,,,,,,TH,,http://galebrawl.rf.gd,http://galebrawl.rf.gd,http://galebrawl.rf.gd,http://galebrawl.rf.gd,http://galebrawl.rf.gd,http://galebrawl.rf.gd,,,,https://web.telegram.org,,,,,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,,,,,https://t.me/shuvee_dev,,,,,,,,,,,,,
DE,sc/ui.sc,flag_gb,Deutsch,2,true,false,localization/de.csv,,,,,de,,,,http://galebrawl.rf.gd,http://galebrawl.rf.gd,http://galebrawl.rf.gd,http://galebrawl.rf.gd,http://galebrawl.rf.gd,http://galebrawl.rf.gd,,https://staging.inbox.brawlstars.com/de/,,https://web.telegram.org,,https://staging.inbox.brawlstars.com/de/community/,,de,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,,,,TRUE,https://t.me/shuvee_dev,,,TRUE,,,,,,,,,,
ES,sc/ui.sc,flag_gb,Español,3,true,false,localization/es.csv,,,,,es,,,,http://galebrawl.rf.gd,http://galebrawl.rf.gd,http://galebrawl.rf.gd,http://galebrawl.rf.gd,http://galebrawl.rf.gd,http://galebrawl.rf.gd,,https://staging.inbox.brawlstars.com/es/,,https://web.telegram.org,,https://staging.inbox.brawlstars.com/es/community/,,es,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,,,,,https://t.me/shuvee_dev,,,TRUE,,,,,,,,,,
IT,sc/ui.sc,flag_gb,Italiano,4,true,false,localization/it.csv,,,,,it,,,,http://galebrawl.rf.gd,http://galebrawl.rf.gd,http://galebrawl.rf.gd,http://galebrawl.rf.gd,http://galebrawl.rf.gd,http://galebrawl.rf.gd,,https://staging.inbox.brawlstars.com/it/,,https://web.telegram.org,,https://staging.inbox.brawlstars.com/it/community/,,it,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,,,,,https://t.me/shuvee_dev,,,TRUE,,,,,,,,,,
JP,sc/ui.sc,flag_gb,日本語,7,true,false,localization/jp.csv,,HiraKakuProN-W6,,,ja,,,,http://galebrawl.rf.gd,http://galebrawl.rf.gd,http://galebrawl.rf.gd,http://galebrawl.rf.gd,http://galebrawl.rf.gd,http://galebrawl.rf.gd,,https://staging.inbox.brawlstars.com/ja/,,https://web.telegram.org,,https://staging.inbox.brawlstars.com/ja/community/,,ja,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,,,,,https://t.me/shuvee_dev,,,TRUE,,,,,,,,,,
CNT,sc/ui.sc,flag_gb,繁體中文,6,true,false,localization/cnt.csv,,STHeitiSC-Medium,,,zh-Hant,zh_TW,,,http://galebrawl.rf.gd,http://galebrawl.rf.gd,http://galebrawl.rf.gd,http://galebrawl.rf.gd,http://galebrawl.rf.gd,http://galebrawl.rf.gd,,https://staging.inbox.brawlstars.com/zh/,,https://web.telegram.org,,https://staging.inbox.brawlstars.com/community/,,zh,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,,,,,https://t.me/shuvee_dev,,,TRUE,,,,,,,,,,
KR,sc/ui.sc,flag_gb,한국어,8,true,false,localization/kr.csv,,,,,ko,,,,http://galebrawl.rf.gd,http://galebrawl.rf.gd,http://galebrawl.rf.gd,http://galebrawl.rf.gd,http://galebrawl.rf.gd,http://galebrawl.rf.gd,,https://staging.inbox.brawlstars.com/ko/,,https://web.telegram.org,,https://staging.inbox.brawlstars.com/ko/community/,,ko,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,,,,,https://t.me/shuvee_dev,,,TRUE,,,,,,,,,,
NL,sc/ui.sc,flag_gb,Nederlands,11,true,false,localization/nl.csv,,,,,nl,,,,http://galebrawl.rf.gd,http://galebrawl.rf.gd,http://galebrawl.rf.gd,http://galebrawl.rf.gd,http://galebrawl.rf.gd,http://galebrawl.rf.gd,,https://staging.inbox.brawlstars.com/nl/,,https://web.telegram.org,,https://staging.inbox.brawlstars.com/nl/community/,,nl,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,,,,,https://t.me/shuvee_dev,,,TRUE,,,,,,,,,,
PT,sc/ui.sc,flag_gb,Português,9,true,false,localization/pt.csv,,,,,pt,pt_Br,,,http://galebrawl.rf.gd,http://galebrawl.rf.gd,http://galebrawl.rf.gd,http://galebrawl.rf.gd,http://galebrawl.rf.gd,http://galebrawl.rf.gd,,https://staging.inbox.brawlstars.com/pt/,,https://web.telegram.org,,https://staging.inbox.brawlstars.com/pt/community/,,pt,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,,,,,https://t.me/shuvee_dev,,,TRUE,,,,,,,,,,
RU,sc/ui.sc,flag_gb,Pусский,10,true,false,localization/ru.csv,,,,,ru,,,,http://galebrawl.rf.gd,http://galebrawl.rf.gd,http://galebrawl.rf.gd,http://galebrawl.rf.gd,http://galebrawl.rf.gd,http://galebrawl.rf.gd,,https://staging.inbox.brawlstars.com/ru/,,https://web.telegram.org,,https://staging.inbox.brawlstars.com/ru/community/,,ru,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,,,,TRUE,https://t.me/shuvee_dev,,,TRUE,,,,,,,,,,
TR,sc/ui.sc,flag_gb,Türkçe,12,true,false,localization/tr.csv,,,,,tr,,,,http://galebrawl.rf.gd,http://galebrawl.rf.gd,http://galebrawl.rf.gd,http://galebrawl.rf.gd,http://galebrawl.rf.gd,http://galebrawl.rf.gd,,https://staging.inbox.brawlstars.com/tr/,,https://web.telegram.org,,https://staging.inbox.brawlstars.com/tr/community/,,tr,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,,,,,https://t.me/shuvee_dev,,,TRUE,,,,,,,,,,
ID,sc/ui.sc,flag_gb,Bahasa Indonesia,17,true,false,localization/id.csv,,,,,id,,,,http://galebrawl.rf.gd,http://galebrawl.rf.gd,http://galebrawl.rf.gd,http://galebrawl.rf.gd,http://galebrawl.rf.gd,http://galebrawl.rf.gd,,https://staging.inbox.brawlstars.com/id/,,https://web.telegram.org,,https://staging.inbox.brawlstars.com/id/community/,,id,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,,,,,https://t.me/shuvee_dev,,,TRUE,,,,,,,,,,
MS,sc/ui.sc,flag_gb,Bahasa Melayu,14,true,false,localization/ms.csv,,,,,ms,,,,http://galebrawl.rf.gd,http://galebrawl.rf.gd,http://galebrawl.rf.gd,http://galebrawl.rf.gd,http://galebrawl.rf.gd,http://galebrawl.rf.gd,,https://staging.inbox.brawlstars.com/ms/,,https://web.telegram.org,,https://staging.inbox.brawlstars.com/ms/community/,,ms,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,,,,,https://t.me/shuvee_dev,,,TRUE,,,,,,,,,,
VI,sc/ui.sc,flag_gb,Tiếng Việt,15,true,false,localization/vi.csv,,,,,vi,,,,http://galebrawl.rf.gd,http://galebrawl.rf.gd,http://galebrawl.rf.gd,http://galebrawl.rf.gd,http://galebrawl.rf.gd,http://galebrawl.rf.gd,,https://staging.inbox.brawlstars.com/vi/,,https://web.telegram.org,,https://staging.inbox.brawlstars.com/vi/community/,,vi,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,,,,,https://t.me/shuvee_dev,,,TRUE,,,,,,,,,,
TH,sc/ui.sc,flag_gb,ภาษาไทย,16,true,false,localization/th.csv,,HelveticaNeue-Bold,,,th,,,,http://galebrawl.rf.gd,http://galebrawl.rf.gd,http://galebrawl.rf.gd,http://galebrawl.rf.gd,http://galebrawl.rf.gd,http://galebrawl.rf.gd,,https://staging.inbox.brawlstars.com/th/,,https://web.telegram.org,,https://staging.inbox.brawlstars.com/th/community/,,th,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,,,,,https://t.me/shuvee_dev,,,TRUE,,,,,,,,,,
FI,sc/ui.sc,flag_gb,Suomi,13,true,false,localization/fi.csv,,,,,fi,,,,http://galebrawl.rf.gd,http://galebrawl.rf.gd,http://galebrawl.rf.gd,http://galebrawl.rf.gd,http://galebrawl.rf.gd,http://galebrawl.rf.gd,,https://staging.inbox.brawlstars.com/fi/,,https://web.telegram.org,,https://staging.inbox.brawlstars.com/fi/community/,,fi,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,,,,TRUE,https://t.me/shuvee_dev,,,TRUE,,,,,,,,,,
TEXT_ASIA,sc/ui.sc,flag_gb,Longest text Asia,106,false,false,localization/texts.csv,TRUE,,,,en,,EN,TRUE,http://galebrawl.rf.gd,http://galebrawl.rf.gd,http://galebrawl.rf.gd,http://galebrawl.rf.gd,http://galebrawl.rf.gd,http://galebrawl.rf.gd,,https://staging.inbox.brawlstars.com/,,https://web.telegram.org,,https://staging.inbox.brawlstars.com/community/,,,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,,,,,https://t.me/shuvee_dev,,,TRUE,,,,,,,,,,
UA,sc/ui.sc,flag_gb,Українська,21,true,false,localization/ua.csv,,,,,ua,,,,http://galebrawl.rf.gd,http://galebrawl.rf.gd,http://galebrawl.rf.gd,http://galebrawl.rf.gd,http://galebrawl.rf.gd,http://galebrawl.rf.gd,,https://staging.inbox.brawlstars.com/ru/,,https://web.telegram.org,,https://staging.inbox.brawlstars.com/ru/community/,,ru,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,,,,TRUE,https://t.me/shuvee_dev,,,TRUE,,,,,,,,,,
,,,,,,,,,,,,,,AR,,,,,,,http://galebrawl.rf.gd,,,,https://web.telegram.org,,,,,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,,,,,https://t.me/shuvee_dev,,,,,,,,,,,,,
,,,,,,,,,,,,,,TR,,,,,,,http://galebrawl.rf.gd,,,,https://web.telegram.org,,,,,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,,,,,https://t.me/shuvee_dev,,,,,,,,,,,,,
,,,,,,,,,,,,,,ID,,,,,,,http://galebrawl.rf.gd,,,,https://web.telegram.org,,,,,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,,,,,https://t.me/shuvee_dev,,,,,,,,,,,,,
,,,,,,,,,,,,,,MS,,,,,,,http://galebrawl.rf.gd,,,,https://web.telegram.org,,,,,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,,,,,https://t.me/shuvee_dev,,,,,,,,,,,,,
,,,,,,,,,,,,,,VI,,,,,,,http://galebrawl.rf.gd,,,,https://web.telegram.org,,,,,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,,,,,https://t.me/shuvee_dev,,,,,,,,,,,,,
