TID,UA
TID_TRICKSHOT_DUDE_ULTI_DESC,"Ріко випускає довгу чергу, яка прошиває ворогів і може покривати ще більшу дистанцію, відскакуючи від стін."
TID_CACTUS,СПАЙК
TID_CACTUS_DESC,"Спайк кидає кактусові гранати, що обсипають усе довкола голками. Його приголомшливий Супер створює поле з шипами, яке сповільнює ворогів і завдає їм шкоди!"
TID_CACTUS_WEAPON,ГОЛКОВА ГРАНАТА
TID_CACTUS_WEAPON_DESC,"Спайк кидає маленький кактус, який вибухає та обсипає все навкруги голками."
TID_CACTUS_ULTI,ПРИБИВ!
TID_CACTUS_ULTI_DESC,"Спайк кидає шипасту гранату, яка завдає шкоди та сповільнює ворогів, що потрапили в зону вибуху."
TID_BARKEEP,БАРЛІ
TID_BARKEEP_DESC,"Барлі атакує, жбурляючи у ворога пляшку; шкода завдається бризками. Його Супер — шквал пляшок, наповнених запальною сумішшю!"
TID_BARKEEP_WEAPON,НЕРОЗБАВЛЕНА СУМІШ
TID_BARKEEP_WEAPON_DESC,"Барлі жбурляє пляшку, і вона розбивається об землю. Бризки, що розлетілися, завдають шкоди ворогам. Ті з них, хто залишаються в калюжі, продовжують отримувати пошкодження."
TID_BARKEEP_ULTI,ОСТАННЄ ЗАМОВЛЕННЯ
TID_BARKEEP_ULTI_DESC,"Обрушивши шквал вогняних пляшок, Барлі заливає вогнем величезну площу. За рахунок закладу!"
TID_MECHANIC,ДЖЕССІ
TID_MECHANIC_DESC,"Шокова гвинтівка Джессі вистрілює енергосферою, яка відскакує від ворога до ворога. Її Супер — встановлення милої, але смертоносної турелі!"
TID_MECHANIC_WEAPON,ШОКОВА ГВИНТІВКА
TID_MECHANIC_WEAPON_DESC,"Влучивши в ціль, випущена з гвинтівки Джессі енергосфера відскакує до наступної цілі в зоні дії та може таким чином вразити до трьох ворогів."
TID_MECHANIC_ULTI,СКРАППІ!
TID_MECHANIC_ULTI_DESC,"Джессі Джанкер установлює турель, що автоматично стріляє по ворогах. Зроблена із 100-відсоткової вторсировини!"
TID_SHAMAN,НІТА
TID_SHAMAN_DESC,"Ніта атакує ворогів хвилею енергії. Її Супер закликає величезного ведмедя, який б'ється поруч із нею!"
TID_SHAMAN_WEAPON,ДАВНЯ СИЛА
TID_SHAMAN_WEAPON_DESC,"Хвиля енергії, що випускається Нітою, завдає шкоди всім ворогам, які влучили в неї."
TID_SHAMAN_ULTI,ВЕДМЕЖУТЬ
TID_SHAMAN_ULTI_DESC,"Ніта закликає дух великого ведмежати, щоб разом полювати на ворогів."
TID_UNDERTAKER,МОРТИС
TID_UNDERTAKER_DESC,"Мортис стрибає вперед із кожним помахом своєї лопати. Його Супер закликає зграю кажанів, що завдають шкоди ворогам і зцілюють його самого!"
TID_UNDERTAKER_WEAPON,ПОМАХ ЛОПАТОЮ
TID_UNDERTAKER_WEAPON_DESC,Стрибок і точний помах лопатою — і в Мортиса знову повно роботи.
TID_UNDERTAKER_ULTI,КРОВ ЖИТТЯ
TID_UNDERTAKER_ULTI_DESC,"Мортис закликає зграю кажанів-вампірів, які висмоктують здоров'я у ворогів і відновлюють його власне. Брр!"
TID_CROW,ВОРОН
TID_CROW_DESC,"Ворон кидає три отруєні кинджали. Його Супер — стрімкий стрибок, на початку та кінці якого Ворон розкидає навсібіч кинджали!"
TID_CROW_WEAPON,КЛИНКИ
TID_CROW_WEAPON_DESC,"Ворон кидає три кинджали. Вороги, зачеплені отруєними клинками, поступово втрачають здоров'я."
TID_CROW_ULTI,НАЛІТ
TID_CROW_ULTI_DESC,"Злітаючи в небо та вертаючись на землю, Ворон оточує себе кільцем отруєних кинджалів."
TID_DEAD_MARIACHI,ПОКО
TID_DEAD_MARIACHI_DESC,Поко атакує ворогів руйнівною звуковою хвилею. Його Супер зцілює його самого та товаришів по команді!
TID_DEAD_MARIACHI_WEAPON,ПОТУЖНИЙ АКОРД
TID_DEAD_MARIACHI_WEAPON_DESC,"Вдаривши по струнах, Поко розповсюджує пронизливу до кісток звукову хвилю, яка завдає шкоди всім зачепленим ворогам."
TID_DEAD_MARIACHI_ULTI,НА БІС!
TID_DEAD_MARIACHI_ULTI_DESC,"Поко лікує себе та друзів, що перебувають поруч, виконуючи наснажливу мелодію. Не впливає на ворогів."
TID_BOW_DUDE,БО
TID_BOW_DUDE_DESC,Бо випускає три вибухові стріли. Його Супер — встановлення трьох секретних вибухових пасток!
TID_BOW_DUDE_WEAPON,ОРЛИНЕ ОКО
TID_BOW_DUDE_WEAPON_DESC,"Три випущені Бо вибухові стріли рвуть ворогів на шматки, як орлині кігті."
TID_BOW_DUDE_ULTI,ПОЛЮВАННЯ НА ЛИСИЦЬ
TID_BOW_DUDE_ULTI_DESC,"Пастки Бо вибухають після активації ворогом із невеликою затримкою. Завдаючи шкоди, вони відкидають супротивників назад."
TID_SNIPER,ПАЙПЕР
TID_SNIPER_DESC,"Снайперські постріли Пайпер завдають більше шкоди на великій дистанції. Її Супер — три гранати, кинувши які, вона збігає!"
TID_SNIPER_WEAPON,ЗАБІЙНА ПАРАСОЛЬКА
TID_SNIPER_WEAPON_DESC,"Пайпер робить снайперський постріл із наконечника своєї парасольки. Що більше дистанція пострілу, то він стає потужнішим!"
TID_SNIPER_ULTI,ПРОМЕНАД
TID_SNIPER_ULTI_DESC,"Пайпер збігає від настирливих шанувальників, залишаючи маленький сувенір на пам'ять: кілька гранат без чеки!"
TID_MINIGUN_DUDE,ПЕМ
TID_MINIGUN_DUDE_DESC,"Постріли Пем усипають усе навколо шрапнеллю. Її Супер — лікувальна турель, яка відновлює здоров'я їй і товаришам по команді!"
TID_MINIGUN_DUDE_WEAPON,БУРЯ БРУХТУ
TID_MINIGUN_DUDE_WEAPON_DESC,"Пем обсипає округу шматками металобрухту. Будь ласка, надіньте захисні окуляри!"
TID_MINIGUN_DUDE_ULTI,МАТУСИН ПОЦІЛУНОК
TID_MINIGUN_DUDE_ULTI_DESC,"Лікувальна турель Пем лікує її саму й усіх товаришів, що перебувають у зоні дії турелі."
TID_BONE_THROWER,Метальник кісток
TID_BONE_THROWER_DESC,"Спритно вправляючись зі своїм масивним кулеметом, цей боєць може вкласти майже необмежену кількість ворогів (низька швидкість переміщення, стійкість до відкидання)."
TID_BONE_THROWER_WEAPON,МІНІҐАН
TID_BONE_THROWER_WEAPON_DESC,Цей боєць просто створений для свого мініґана. Він навіть може вести вогонь на ходу!
TID_BONE_THROWER_ULTI,АВТОПЕРЕВ'ЯЗКА
TID_BONE_THROWER_ULTI_DESC,У запеклій перестрілці отримувати подряпину або серйозну рану дуже просто. Автоперев'язка допоможе всій команді залишитися в строю!
TID_BLACK_HOLE,ТАРА
TID_BLACK_HOLE_DESC,"Три карти таро Тари наскрізь пронизають ворогів. Її Супер — чорна діра, яка затягує ворогів, що опинилися поблизу, завдаючи їм шкоди!"
TID_BLACK_HOLE_WEAPON,ТРИ КАРТИ ТАРО
TID_BLACK_HOLE_WEAPON_DESC,"Недбалий рух руки, і три карти таро пронизують ворогів. Оце так спритність!"
TID_BLACK_HOLE_ULTI,ТЯЖІННЯ
TID_BLACK_HOLE_ULTI_DESC,"Тара чаклунством створює гравітаційний колодязь. Вороги, які потрапили в зону дії, стикаються один з одним, зазнаючи нестерпного болю."
TID_TURRET_DAMAGE,Пошкодження турелі
TID_TURRET_HEALTH,Здоров'я турелі
TID_STAT_DAMAGE_PER_SECOND,Пошкодження за секунду
TID_STAT_DAMAGE_PER_SECOND_EACH,Пошкодження за секунду
TID_STAT_DAMAGE_PER_STRIKE,Пошкодження від удару
TID_ROBOT,ПОМІЧНИК ШЕРИФА АЙРОНС
TID_ROBOT_DESC,Створений служити. Покликаний руйнувати.
TID_ROBOT_WEAPON,РАКЕТНИЙ СНАЙПЕР
TID_ROBOT_WEAPON_DESC,Помічник шерифа Айронс запускає вибухову ракету на неймовірно довгу дистанцію з механічною точністю.
TID_ROBOT_ULTI,СТРИМУВАННЯ НАТОВПУ
TID_ROBOT_ULTI_DESC,"Коли справа доходить до крайніх заходів, помічник шерифа Айронс готовий обрушити на некерований натовп шквал ракет."
TID_ARMOR_STAT,Здоров'я
TID_HEALTH,Здоров'я
TID_STAT_GRENADE_DAMAGE,Пошкодження від гранати
TID_STAT_MISSILE_DAMAGE,Пошкодження від ракети
TID_STAT_HEALTH,Здоров'я
TID_STAT_SPEED,Швидкість
TID_STAT_DAMAGE,Пошкодження
TID_STAT_DAMAGE_PER_SHOT,Пошкодження від кулі
TID_STAT_DAMAGE_PER_SHELL,Пошкодження від пострілу
TID_STAT_HAMMER_DAMAGE,"Пошкодження кожні 0,2 с."
TID_BATTLE,ГРАТИ
TID_QUIT,Вийти
TID_MATCHMAKING_QUIT,Вийти
TID_MATCHMAKING_HEADING,Пошук гравців
TID_MATCHMAKING_TIME_LABEL,Гра розпочнеться через
TID_MATCHMAKING_PLAYERS,Знайдено гравців: <x> із <y>
TID_BUTTON_CANCEL,Скасування
TID_BUTTON_OK,ОК
TID_ENTER_NAME_TITLE,Ласкаво просимо в Gale Brawl!
TID_ENTER_NAME_BODY,Як тебе звати?
TID_TIME_DAYS, д.
TID_TIME_HOURS, г.
TID_TIME_MINS, хв.
TID_TIME_SECS, с.
TID_MATCHMAKING_TIME,Час до початку: <TIME>
TID_SUPERCELL_ID_TITLE,Supercell ID
TID_SUPERCELL_ID_BUTTON_CONNECTED,Під'єднано
TID_SUPERCELL_ID_BUTTON_DISCONNECTED,Під'єднано
TID_SUPERCELL_ID_LOGIN_BUTTON,Вхід
TID_SUPERCELL_ID_NEW_GAME_BUTTON,Грати без під'єднання
TID_CANNOT_SWITCH_TO_ACCOUNT_WITHOUT_SUPERCELL_ID,Хочеш завантажити іншу гру з <number>-м рівнем досвіду? Для цього потрібно ввійти в гру із Supercell ID.
TID_ERROR_POP_UP_OUT_OF_SYNC_TITLE,Помилка!
TID_ERROR_POP_UP_OUT_OF_SYNC,Клієнт і сервер не синхронізовані!
TID_ERROR_POP_UP_OUT_OF_SYNC_BUTTON,Перезавантажити гру
TID_ERROR_POP_UP_CONNECTION_FAILED_TITLE,Помилка під'єднання
TID_ERROR_POP_UP_CONNECTION_FAILED,Не вдається під'єднатися до сервера. Перевір під'єднання до Інтернету та спробуй знову.
TID_ERROR_POP_UP_CONNECTION_FAILED_BUTTON,Спробувати знову
TID_ERROR_POP_UP_LOGIN_FAILED_TITLE,Увійти не вдалося
TID_ERROR_POP_UP_LOGIN_FAILED,"Будь ласка, спробуй пізніше."
TID_ERROR_POP_UP_LOGIN_FAILED_BUTTON,Спробувати знову
TID_ERROR_POP_UP_AUTO_DISCONNECTED_TITLE,Тут є хто-небудь?
TID_ERROR_POP_UP_AUTO_DISCONNECTED,"Натисни на кнопку внизу, щоб перезавантажити гру."
TID_ERROR_POP_UP_AUTO_DISCONNECTED_BUTTON,Перезавантажити гру
TID_ERROR_POP_UP_WRONG_CLIENT_VERSION_TITLE,Доступне оновлення!
TID_ERROR_POP_UP_WRONG_CLIENT_VERSION,Чудові новини! Доступна нова версія Gale Brawl.
TID_ERROR_POP_UP_WRONG_CLIENT_VERSION_BUTTON,Оновлення
TID_ERROR_POP_UP_SERVER_MAINTENANCE_TITLE,Технічна перерва
TID_ERROR_POP_UP_SERVER_MAINTENANCE,"Пробач, на сервері проводяться технічні роботи. Спробуй, будь ласка, пізніше."
TID_ERROR_POP_UP_SERVER_MAINTENANCE_BUTTON,Спробуй знову
TID_ERROR_POP_UP_BANNED_TITLE,Тебе заблокували!
TID_ERROR_POP_UP_BANNED,Тебе тимчасово заблокували
TID_ERROR_POP_UP_BANNED_BUTTON,OK
TID_ERROR_POP_UP_BANNED_BUTTON_CONTACT_PS,Підтримка
TID_ERROR_POP_UP_BANNED_ARTICLE_BUTTON,Детальніше
TID_INFO_POP_UP_IAP_NOTE_TITLE,Важливе повідомлення
